電影中文名稱,電影英文名稱,類型,國家,上映年份,導演,演員,Hami詳細頁Url,hami_rating,hami_duration,imdb_id,rt_tomatometer,rt_audience_score,douban_rating,imdb_rating,metacritic_rating,rt_tomatometer_omdb
捍衛任務4,John Wick: Chapter 4,動作,美加,2023,查德史塔赫斯基,"基努李維, 甄子丹, 比爾史柯斯嘉, 勞倫斯費許朋, 伊恩麥克薛恩, 真田廣之, 澤山璃奈",https://hamivideo.hinet.net/product/227949.do?cs=2,4.4,169分鐘,tt10366206,94%,93%,7.3,7.6,78/100,
九龍城寨之圍城,Twilight of the Warriors：Walled In,動作,香港,2024,鄭保瑞,"古天樂, 洪金寶, 任賢齊, 郭富城, 林峯, 劉俊謙, 黃德斌, 伍允龍, 胡子彤, 張文傑",https://hamivideo.hinet.net/product/272166.do?cs=2,4.4,125分鐘,tt20316748,90%,85%,7.2,6.9,77/100,
玩命特攻：武演行動,Operation Fortune: Ruse de guerre,動作,美加,2023,蓋瑞奇,"傑森史塔森, 喬許哈奈特, 休葛蘭, 奧布瑞普拉薩, 布吉馬龍, 凱瑞艾文斯",https://hamivideo.hinet.net/product/222565.do?cs=2,4.1,113分鐘,tt7985704,51%,82%,5.5,6.3,51/100,
名偵探柯南 黑鐵的魚影(日語),Detective Conan The Movie: Black Iron Submarine,動畫,日本,2023,立川讓,"高山南, 林原惠, 堀之紀",https://hamivideo.hinet.net/product/247596.do?cs=2,4.7,109分鐘,tt27521477,NoRating,88%,6.5,7.2,NoRating,
電影哆啦A夢：大雄的地球交響樂,Doraemon the Movie: Nobita’s Earth Symphony,動畫,日本,2024,今井一曉,"水田山葵, 大原惠, 嘉數由美, 木村昴, 關智一, 田村睦心, 芳根京子, 悠木碧, 天月",https://hamivideo.hinet.net/product/283750.do?cs=2,4.5,115分鐘,tt29402528,NoRating,58%,6.6,6.6,NoRating,
捍衛任務：復仇芭蕾,Ballerina,動作,美加,2025,藍威斯曼,"安娜德哈瑪斯, 基努李維, 伊恩麥克薛恩, 諾曼李杜斯",https://hamivideo.hinet.net/product/304788.do?cs=2,4.2,124分鐘,tt7181546,75%,92%,6.8,6.8,59/100,
哪吒之魔童降世,Ne Zha,動畫,中國,2019,餃子,"呂艷婷, 囧森瑟夫, 瀚墨, 陳浩",https://hamivideo.hinet.net/product/131558.do?cs=2,4.3,104分鐘,tt10627720,91%,98%,8.4,7.3,56/100,
名偵探柯南 100萬美元的五稜星,Detective Conan The Movie: The Million-dollar Pentagram,動畫,日本,2024,永岡智佳,"高山南, 山口勝平, 堀川亮, 宮村優子",https://hamivideo.hinet.net/product/281855.do?cs=2,4.7,110分鐘,tt31474158,NoRating,78%,6.6,6.6,NoRating,
全知讀者視角,Omniscient Reader: The Prophecy,動作,韓國,2025,金秉祐,"安孝燮, 李敏鎬, 蔡秀彬, 申承浩, NANA, JISOO, 權恩成, 朴號山, 崔永葰",https://hamivideo.hinet.net/product/309168.do?cs=2,4.3,116分鐘,tt30254719,25%,38%,6.3,5.9,NoRating,
名偵探柯南 獨眼的殘像,Detective Conan The Movie: One-Eyed Flashback,動畫,日本,2022,重原克也,"高山南, 山口勝平, 高田裕司, 速水獎, 小清水亞美",https://hamivideo.hinet.net/product/312826.do?cs=2,4.6,109分鐘,tt35444710,NoRating,NoRating,6.7,6.6,NoRating,
電影蠟筆小新：我們的恐龍日記,Crayon Shinchan the Movie: Our Dinosaur Diary,動畫,日本,2024,佐佐木忍,"小林由美子, 水樹奈奈, 北村匠海, 戶松遙, 森川智之, 真柴摩利, 楢橋美紀, 興梠里美",https://hamivideo.hinet.net/product/286705.do?cs=2,4.5,104分鐘,,NoRating,NoRating,6.5,NoRating,NoRating,
犯罪都市４,The Roundup: Punishment,動作,韓國,2024,許明行,"馬東石, 金武烈, 李東輝, 朴智煥, 李凡秀, 金珉才, 李主儐",https://hamivideo.hinet.net/product/265045.do?cs=2,4.6,109分鐘,tt27811040,91%,82%,6.6,6.6,NoRating,
天劫倒數2：大遷徙,Greenland2 : Migration,動作,美加,2026,雷克羅曼沃,"傑瑞德巴特勒, 莫蓮娜芭卡琳, 湯米厄爾詹金斯, 羅曼格里芬戴維斯",https://hamivideo.hinet.net/product/319879.do?cs=2,3.6,97分鐘,tt14850054,48%,66%,5.0,5.2,49/100,
重裝制裁,A Working Man,動作,其他,2025,大衛艾亞,"傑森史塔森, 大衛哈伯, 麥可潘納, 傑森佛萊明",https://hamivideo.hinet.net/product/297599.do?cs=2,4.2,115分鐘,tt9150192,46%,87%,5.5,5.7,52/100,
變身機長,Pilot,喜劇,韓國,2024,金嫺潔,"曹政奭, 李宙明, 韓善伙, 申承浩",https://hamivideo.hinet.net/product/277762.do?cs=2,4.4,111分鐘,tt32175399,NoRating,62%,6.4,6.2,NoRating,
電影哆啦A夢：大雄的繪畫世界物語,Doraemon the Movie: Nobita’s Art World Tales,動畫,日本,2025,寺本幸代,"水田山葵, 大原惠, 嘉數由美, 木村昴, 關智一, 和多田美咲, 種崎敦美, 久野美咲, 鈴鹿央士",https://hamivideo.hinet.net/product/309178.do?cs=2,4.8,104分鐘,tt33512868,NoRating,NoRating,8.2,7.3,NoRating,
誤判,The Prosecutor,動作,香港,2024,甄子丹,"甄子丹, 張智霖, 許冠文, 吳鎮宇, 張天賦",https://hamivideo.hinet.net/product/293645.do?cs=2,4.3,117分鐘,tt30024043,94%,91%,6.8,6.5,65/100,
犯罪都市3,The Roundup: No Way Out,動作,韓國,2023,李尚龍,"馬東石, 李浚赫, 青木崇高, 李凡秀, 金珉才, 全錫浩, 高圭弼, 國村隼",https://hamivideo.hinet.net/product/236287.do?cs=2,4.6,105分鐘,tt21364552,100%,95%,6.6,6.6,NoRating,
捍衛戰士：獨行俠,TOP GUN: MAVERICK,動作,美加,2022,喬瑟夫柯辛斯基,"湯姆克魯斯, 珍妮佛康納莉, 麥爾斯泰勒",https://hamivideo.hinet.net/product/315353.do?cs=2,4.8,130分鐘,tt1745960,96%,99%,8.0,8.2,78/100,
封神第一部：朝歌風雲,Creation of the Gods I: Kingdom of Storms,動作,中國,2023,烏爾善,"費翔, 李雪健, 黃渤, 于適, 陳牧馳, 娜然, 此沙, 武亞凡, 夏雨, 袁泉, 王洛勇, 侯雯元, 黃曦彥, 李昀銳, 楊玏, 陳坤",https://hamivideo.hinet.net/product/282315.do?cs=2,4.3,147分鐘,tt6979756,60%,97%,7.7,6.6,NoRating,
我和我的殭屍女兒,My Daughter is a Zombie,喜劇,韓國,2025,畢鑑盛,"曹政奭, 李姃垠, 曺汝貞, 尹敬浩, 崔惟理",https://hamivideo.hinet.net/product/306700.do?cs=2,4.4,113分鐘,tt36553678,NoRating,NoRating,6.6,6.7,NoRating,
電影哆啦A夢：大雄與天空的理想鄉,Doraemon the Movie: Nobita's Sky Utopia,動畫,日本,2023,堂山卓見,"水田山葵, 大原惠, 嘉數由美, 木村昴, 關智一, 井上麻里奈, 水瀨祈, 永瀬廉, 山里亮太, 藤本美貴",https://hamivideo.hinet.net/product/239386.do?cs=2,4.6,107分鐘,tt21223380,NoRating,64%,7.1,6.8,NoRating,
聖夜：惡魔都市,Holy Night: Demon Hunters,動作,韓國,2025,林大熙,"馬東石, 徐玄, 李大衛, 景收真, 鄭知蘇",https://hamivideo.hinet.net/product/298490.do?cs=2,3.6,91分鐘,tt15766876,79%,NoRating,4.5,4.8,NoRating,
帝國浩劫：美國內戰,Civil War,動作,美加,2024,艾力克斯嘉蘭,"克絲汀鄧斯特, 卡莉史派妮, 華格納莫拉",https://hamivideo.hinet.net/product/267581.do?cs=2,3.6,108分鐘,tt17279496,81%,69%,6.4,7.0,75/100,
玩命鈔劫,Wrath of Man,動作,美加,2021,蓋瑞奇,"傑森史塔森, 喬許哈奈特, 史考特伊斯威特, 拉茲阿隆索, 妮雅姆艾格",https://hamivideo.hinet.net/product/161226.do?cs=2,4.5,118分鐘,tt11083552,68%,90%,6.7,7.1,57/100,
台北追緝令,Weekend in Taipei,動作,美加,2024,黃嘉智,"路克伊凡斯, 桂綸鎂, 姜成鎬, 楊明偉",https://hamivideo.hinet.net/product/280946.do?cs=2,3.6,100分鐘,tt28142896,52%,69%,4.1,5.7,NoRating,
窺鏡,Hidden Face,驚悚,韓國,2016,金大又,"宋承憲, 曹汝貞, 朴智炫, 朴智英",https://hamivideo.hinet.net/product/285735.do?cs=2,4.2,115分鐘,tt37673296,NoRating,NoRating,NoRating,NoRating,NoRating,
The First Slam Dunk 灌籃高手,The First Slam Dunk,動畫,日本,2023,井上雄彦,"仲村宗悟, 木村昴, 三宅健太, 神尾晋一郎, 笠間淳",https://hamivideo.hinet.net/product/291507.do?cs=2,4.6,124分鐘,tt15242330,92%,95%,8.9,8.0,79/100,
風林火山,Sons of the Neon Night,劇情,香港,2025,麥浚龍,"金城武, 劉青雲, 梁家輝, 古天樂, 高圓圓",https://hamivideo.hinet.net/product/316873.do?cs=2,4.6,124分鐘,tt4968738,20%,NoRating,6.2,5.8,NoRating,
危機航線,High Forces,動作,中國,2024,彭順,"劉德華, 張子楓, 屈楚蕭, 劉濤",https://hamivideo.hinet.net/product/284784.do?cs=2,4.0,119分鐘,tt17501870,NoRating,NoRating,5.5,5.8,NoRating,
絕地逃生 ,Escape,動作,韓國,2024,李鍾泌,"李帝勳, 具教煥, 洪思彬, 宋江, 李絮",https://hamivideo.hinet.net/product/275105.do?cs=2,4.4,94分鐘,tt31898445,71%,98%,6.3,6.4,NoRating,
獵金．遊戲,A Gilded Game,劇情,中國,2025,邱禮濤,"劉德華, 歐豪, 倪妮, 黃奕, 蔣夢婕, 鄭則士, 劉以豪, 張晨光, 田麗",https://hamivideo.hinet.net/product/300343.do?cs=2,3.9,129分鐘,tt23461006,NoRating,NoRating,5.1,5.5,NoRating,
絕地營救,The Covenant,動作,英國,2023,蓋瑞奇,"傑克葛倫霍, 達爾薩利姆, 安東尼史塔, 亞歷山大路威",https://hamivideo.hinet.net/product/230171.do?cs=2,4.6,122分鐘,tt4873118,82%,98%,7.5,7.5,63/100,
LAST MILE：全面引爆,LAST MILE,劇情,日本,2024,塚原亞由子,"滿島光, 岡田將生, 石原聰美, 綾野剛, 星野源",https://hamivideo.hinet.net/product/291032.do?cs=2,4.4,129分鐘,tt32253416,NoRating,NoRating,7.0,6.5,NoRating,
為人民服務,Serve the People,愛情,韓國,2022,張喆洙,"延玗臻, 智眼, 趙城何",https://hamivideo.hinet.net/product/190537.do?cs=2,4.3,146分鐘,tt18372308,NoRating,NoRating,NoRating,6.3,NoRating,
黑祭司2：闇黑修女,The Priests 2 : Dark Nuns,驚悚,韓國,2025,權洫載,"宋慧喬, 全余贇, 李陣郁, 許峻豪, 文友辰",https://hamivideo.hinet.net/product/289221.do?cs=2,3.8,114分鐘,tt32491690,53%,62%,4.6,5.2,NoRating,
天眼浩劫,Shelter,動作,美加,2026,雷克羅曼沃,"傑森史塔森, 娜歐蜜艾基, 丹尼爾梅斯, 比爾奈伊",https://hamivideo.hinet.net/product/325399.do?cs=2,4.0,107分鐘,tt32357218,64%,87%,5.9,6.2,50/100,
新次元！蠟筆小新電影超能力大決戰-飛吧！手卷壽司-,CRAYON SHINCHAN THE MOVIE: BATTLE OF SUPERNATURAL POWERS FLYING SUSHI,動畫,日本,2023,大根仁,"小林由美子, 楢橋美紀, 森川智之, 興梠里美, 松坂桃李, 鬼頭明里",https://hamivideo.hinet.net/product/253998.do?cs=2,4.5,93分鐘,tt26862791,NoRating,NoRating,7.4,6.5,NoRating,
飢餓遊戲：鳴鳥與游蛇之歌,The Hunger Games: The Ballad of Songbirds And Snakes,動作,美加,2023,法蘭西斯勞倫斯,"湯姆布萊斯, 瑞秋曾格勒, 薇拉戴維絲, 彼得汀克萊傑, 杭特薛佛, 傑森薛茲曼",https://hamivideo.hinet.net/product/252191.do?cs=2,4.2,157分鐘,tt10545296,64%,89%,6.6,6.6,54/100,
名偵探柯南 萬聖節的新娘(日語),Detective Conan：The Bride of Halloween,動畫,日本,2022,滿仲勸,"高山南, 山崎和佳奈, 小山力也, 古谷徹",https://hamivideo.hinet.net/product/209455.do?cs=2,4.6,110分鐘,tt19770970,NoRating,75%,7.3,6.8,NoRating,
家弒服務,The Housemaid,驚悚,美加,2025,保羅費格,"席德妮史威尼, 亞曼達塞佛瑞, 布蘭登斯克勒納, 米歇爾莫羅內",https://hamivideo.hinet.net/product/318083.do?cs=2,4.5,131分鐘,tt27543632,73%,NoRating,7.1,6.7,65/100,
焚城,Cesium Fallout,動作,香港,2024,潘耀明,"劉德華, 白宇, 莫文蔚, 謝君豪, 王菀之, 王丹妮, 廖子妤, 何啟華, 魏浚笙, 梁仲恆, 林保怡, 王敏德, 周文健, 鄭則仕, 黃德斌, 林家熙, 黃愷傑",https://hamivideo.hinet.net/product/288689.do?cs=2,4.1,135分鐘,,NoRating,NoRating,6.8,NoRating,NoRating,
做工的人 電影版,Workers The Movie,劇情,台灣,2023,鄭芬芬,"李銘順, 游安順, 薛仕凌, 柯叔元, 苗可麗, 曾珮瑜, 方宥心, 曾敬驊, 項婕如, 天心, 炎亞綸",https://hamivideo.hinet.net/product/232439.do?cs=2,4.5,94分鐘,tt26936155,NoRating,NoRating,6.8,6.7,NoRating,
凌晨兩點的惡魔,Pretty Crazy,喜劇,韓國,2025,李相槿,"林潤娥, 安普賢, 成東鎰, 朱賢英",https://hamivideo.hinet.net/product/308168.do?cs=2,4.5,112分鐘,tt35382678,NoRating,NoRating,6.2,6.5,NoRating,
劇場版SPY×FAMILY 間諜家家酒 CODE：White,SPY x FAMILY CODE: White,動畫,日本,2024,片桐崇,"江口拓也, 種崎敦美, 早見沙織",https://hamivideo.hinet.net/product/271603.do?cs=2,4.7,109分鐘,tt26684398,94%,97%,7.3,7.3,68/100,
名偵探柯南 黑鐵的魚影(國語),Detective Conan The Movie: Black Iron Submarine,動畫,日本,2022,立川讓,"高山南, 林原惠, 堀之紀",https://hamivideo.hinet.net/product/247595.do?cs=2,4.7,109分鐘,tt27521477,NoRating,88%,6.5,7.2,NoRating,
鈴芽之旅(日語),Suzume,動畫,日本,2023,新海誠,"原菜乃華, 松村北斗, 深津繪里, 染谷將太, 伊藤沙莉, 花澤香菜",https://hamivideo.hinet.net/product/246161.do?cs=2,4.7,121分鐘,tt16428256,96%,98%,7.2,7.6,77/100,
水泥烏托邦：末日浩劫,Concrete Utopia,動作,韓國,2023,嚴泰和,"李炳憲, 朴敘俊, 朴寶英, 金先英, 朴持厚, 金道允",https://hamivideo.hinet.net/product/242140.do?cs=2,4.1,130分鐘,tt13086266,100%,75%,6.4,6.6,73/100,
犯罪都市2,The Roundup,動作,韓國,2022,李相龍,"馬東石, 孫錫求, 崔貴華, 朴志煥, 許棟元, 河俊, 鄭在光, 音文碩, 金燦亨",https://hamivideo.hinet.net/product/195937.do?cs=2,4.6,105分鐘,tt15838850,96%,100%,7.5,7.0,NoRating,
30日,Love Reset,愛情,韓國,2023,南大中,"姜河那, 庭沼珉, 趙敏修, 金先英, 尹敬浩",https://hamivideo.hinet.net/product/251941.do?cs=2,4.5,119分鐘,,NoRating,85%,6.8,NoRating,NoRating,
電影蠟筆小新：超華麗！灼熱的春日部舞者們,Crayon Shinchan the Movie: Super Hot! The Spicy Kasukabe Dancers,動畫,日本,2025,橋本昌和,"小林由美子, 瀨戶麻沙美, 山寺宏一, 速水獎, 寶龜克壽, 阪本千夏, 賀來賢人",https://hamivideo.hinet.net/product/317676.do?cs=2,4.2,105分鐘,,NoRating,NoRating,NoRating,NoRating,NoRating,
寂噤計畫,Project Silence,動作,韓國,2024,金太坤,"李善均, 朱智勛, 金熙元, 文盛瑾, 芮秀貞, 金泰佑, 朴熹本, 朴柱炫, 金秀晏",https://hamivideo.hinet.net/product/274401.do?cs=2,3.9,95分鐘,tt25808194,50%,52%,5.0,5.4,NoRating,
王命之徒,The King’s Warden,劇情,韓國,2026,張恆準,"柳海真, 朴志訓, 劉智泰, 田美都, 金慜, 朴智煥, 李浚赫, 安宰弘",https://hamivideo.hinet.net/product/323988.do?cs=2,4.6,116分鐘,tt38626703,NoRating,96%,7.4,7.1,NoRating,
名偵探柯南：唐紅的戀歌(國語),Detective Conan: The Crimson Love Letter,動畫,日本,2017,靜野孔文,"高山南(名偵探柯南), 堀川亮(服部平次), 宮村優子(遠山和葉)",https://hamivideo.hinet.net/product/53927.do?cs=2,4.5,112分鐘,tt5692622,NoRating,NoRating,7.0,6.5,NoRating,
誰想當老大,BOSS,喜劇,韓國,2025,羅熙燦,"趙宇鎮, 鄭敬淏, 朴智煥, 李奎炯, 李星民, 吳達秀",https://hamivideo.hinet.net/product/316135.do?cs=2,4.0,97分鐘,tt31645750,53%,51%,6.1,5.7,NoRating,
烈火救援,Firefighters,劇情,韓國,2025,郭暻澤,"周元, 郭到元, 劉宰明, 李裕英, 金珉才, 吳大煥, 李浚赫, 張榮男",https://hamivideo.hinet.net/product/289145.do?cs=2,4.4,106分鐘,tt32628369,NoRating,NoRating,5.9,5.7,NoRating,
名偵探柯南 萬聖節的新娘(國語),Detective Conan：The Bride of Halloween,動畫,日本,2022,滿仲勸,"高山南, 山崎和佳奈, 小山力也, 古谷徹",https://hamivideo.hinet.net/product/209454.do?cs=2,4.7,110分鐘,tt19770970,NoRating,75%,7.3,6.8,NoRating,
車頂上的玄天上帝,BE WITH ME,劇情,台灣,2023,黃文英,"林依晨, 周渝民, 阮經天, 張孝全",https://hamivideo.hinet.net/product/268348.do?cs=2,3.7,129分鐘,tt27811012,NoRating,NoRating,5.6,5.7,NoRating,
鳳姐,A Girl out of the Country,劇情,台灣,2024,邱新達,"高宇蓁, 黃冠智, 段鈞豪, 蔡嘉茵, 郭耀仁, 麥語彤, 瑪菲司",https://hamivideo.hinet.net/product/286330.do?cs=2,4.4,102分鐘,tt29306913,NoRating,NoRating,6.3,7.4,NoRating,
再見機器人,Robot Dreams,動畫,西班牙,2024,帕布羅貝嘉,,https://hamivideo.hinet.net/product/263207.do?cs=2,4.7,102分鐘,tt13429870,98%,95%,9.1,7.6,87/100,
異能5：死了一個超人以後,Hi Five,動作,韓國,2025,姜炯哲,"李在仁, 安宰弘, 羅美蘭, 金熙元, 劉亞仁, 吳正世, 朴珍榮, 申久",https://hamivideo.hinet.net/product/303218.do?cs=2,4.4,119分鐘,tt14044924,NoRating,NoRating,6.2,6.5,NoRating,
愛誘慾,The Intimate,愛情,韓國,2005,金泰恩,"成賢娥, 趙東赫",https://hamivideo.hinet.net/product/209113.do?cs=2,4.0,98分鐘,tt0492533,NoRating,NoRating,NoRating,5.8,NoRating,
談判專家,Crisis Negotiators,劇情,香港,2021,邱禮濤,"劉青雲, 吳鎮宇, 苗僑偉, 姜皓文, 劉德華, 彭秀慧",https://hamivideo.hinet.net/product/284253.do?cs=2,4.4,119分鐘,tt32338725,NoRating,NoRating,7.2,6.7,NoRating,
超完美暗殺隊,The Plot,動作,韓國,2024,李約燮,"姜棟元, 李茂生, 李美淑, 金洪波, 金新綠, 李玹旭, 李東輝, 鄭恩彩, 陳俊翔, 李鍾碩",https://hamivideo.hinet.net/product/269863.do?cs=2,3.2,99分鐘,tt26591189,NoRating,NoRating,5.1,4.8,NoRating,
犯罪都市,The Outlaws,動作,韓國,2017,姜允成,"馬東石, 尹啟相, 趙在允, 崔貴華",https://hamivideo.hinet.net/product/57334.do?cs=2,4.6,122分鐘,tt7468056,92%,44%,7.7,7.2,NoRating,
與我同眠,Lie with Me,愛情,美加,2005,克萊門維戈爾,"蘿倫李史密斯, 艾瑞克貝福, 波莉夏倫",https://hamivideo.hinet.net/product/177665.do?cs=2,3.6,89分鐘,tt0418832,97%,88%,6.2,5.2,NoRating,
人間中毒,Obsessed,愛情,韓國,2014,金大又,"宋承憲, 林智妍, 曹汝貞, 溫朱莞, 柳海真, 芮秀貞",https://hamivideo.hinet.net/product/227835.do?cs=2,4.4,132分鐘,tt3303730,NoRating,NoRating,NoRating,6.3,NoRating,
徵人啟弒,No Other Choice,驚悚,韓國,2025,朴贊郁,"李炳憲, 孫藝珍, 朴熹洵",https://hamivideo.hinet.net/product/312887.do?cs=2,3.9,138分鐘,tt1527793,97%,93%,7.3,7.5,86/100,
名偵探柯南劇場版-純黑的惡夢(國語),Detective Conan: The Darkest Nightmare,動畫,日本,2016,靜野孔文,高山南,https://hamivideo.hinet.net/product/38743.do?cs=2,4.7,111分鐘,tt4954660,NoRating,88%,6.1,7.0,NoRating,
哈爾濱,Harbin,動作,韓國,2025,禹民鎬,"玄彬, 朴正民, 趙祐鎮, 全余贇, 朴勳, 劉在明, 李棟旭",https://hamivideo.hinet.net/product/299409.do?cs=2,3.7,114分鐘,tt23630030,89%,90%,5.2,6.3,NoRating,
辣手警探2,"I, the Executioner",動作,韓國,2019,柳昇完,"黃晸玟, 丁海寅, 張允柱, 鄭滿植, 吳達秀, 申承煥, 吳代煥, 金時厚, 安普賢",https://hamivideo.hinet.net/product/283670.do?cs=2,4.4,118分鐘,tt30287778,100%,73%,5.9,6.3,NoRating,
怒潮,Wolf Hiding,動作,中國,2024,馬浴柯,"王大陸, 阮經天, 張家輝, 秦沛",https://hamivideo.hinet.net/product/254103.do?cs=2,4.1,106分鐘,tt18766596,NoRating,NoRating,6.2,6.1,NoRating,
在熙的男，朋友,Love in the Big City,愛情,韓國,2024,李彥禧,"金高銀, 魯常泫, 李相二, 郭東延",https://hamivideo.hinet.net/product/282851.do?cs=2,4.7,118分鐘,tt33022813,NoRating,NoRating,7.9,7.3,NoRating,
殺人預言,Nocturnal,驚悚,韓國,2025,金振皇,"河正宇, 金南佶, 劉多仁, 鄭滿植, 林成財",https://hamivideo.hinet.net/product/292575.do?cs=2,3.0,99分鐘,tt34574758,NoRating,NoRating,4.9,5.2,NoRating,
老狐狸,Old Fox,劇情,台灣,2023,蕭雅全,"劉冠廷, 白潤音, 陳慕義, 劉奕兒",https://hamivideo.hinet.net/product/256395.do?cs=2,4.5,111分鐘,tt29452517,NoRating,NoRating,8.1,7.2,NoRating,
名偵探柯南 緋色的彈丸(日語),Detective Conan the Movie: The Scarlet Bullet,動畫,日本,2021,永岡智佳,"高山南, 山崎和佳奈, 小山力也",https://hamivideo.hinet.net/product/172116.do?cs=2,4.6,110分鐘,tt12093860,NoRating,38%,5.5,6.2,NoRating,
冠軍之路,Hero! Hito!,紀錄片,台灣,2026,龍男以撒克凡亞思,"李凱威, 王建民, 林昱珉, 陳瑞昌, 曾豪駒, 陳傑憲, 陳晨威, 林安可, 林岳平, 莊昕諺, 林家正",https://hamivideo.hinet.net/product/327133.do?cs=2,4.6,119分鐘,tt39261436,NoRating,NoRating,NoRating,8.3,NoRating,
浴血任務4,Expend4bles,動作,美加,2023,史考特沃爾,"傑森史塔森, 席維斯史特龍, 杜夫朗格, 蘭迪寇楚, 梅根福克斯, 東尼嘉, 伊科烏艾斯",https://hamivideo.hinet.net/product/244705.do?cs=2,3.8,103分鐘,tt3291150,14%,69%,4.8,4.8,30/100,
超危險保鑣,Freelance,動作,美加,2023,皮耶莫瑞爾,"約翰希南, 艾莉絲伊芙, 愛莉森布里, 克里斯汀史萊特, 尤安帕布羅瑞巴",https://hamivideo.hinet.net/product/248065.do?cs=2,4.0,108分鐘,tt15744298,10%,78%,6.0,5.6,26/100,
鬼滅之刃劇場版 無限列車篇,Demon Slayer: Kimetsu no Yaiba the Movie: Mugen Train,動畫,日本,2020,外崎春雄,"花江夏樹, 鬼頭明里, 下野紘, 松岡禎丞, 日野聰",https://hamivideo.hinet.net/product/153772.do?cs=2,4.7,116分鐘,tt11032374,98%,99%,7.9,8.2,72/100,
坎達哈行動,Kandahar,動作,美加,2023,雷克羅曼沃,"傑瑞德巴特勒, 雷哈拉蒂安, 阿里札勒, 奧莉維亞邁巴雷特, 妮娜圖桑懷特",https://hamivideo.hinet.net/product/234307.do?cs=2,4.1,119分鐘,tt5761544,46%,82%,5.5,6.1,52/100,
緊急迫降,Emergency Declaration,劇情,韓國,2022,韓在林,"宋康昊, 李炳憲, 全度妍, 金南佶, 任時完, 金素辰, 朴解浚",https://hamivideo.hinet.net/product/207414.do?cs=2,4.4,140分鐘,tt11535228,65%,64%,6.3,6.8,70/100,
魔女二部曲：另一個她,The Witch: Part 2. The Other One,動作,韓國,2022,朴勳正,"申始雅, 朴恩斌, 徐恩秀, 晉久, 成愉頻, 趙敏修, 李鍾碩, 金多美",https://hamivideo.hinet.net/product/200228.do?cs=2,4.4,137分鐘,tt13721828,82%,69%,6.2,6.3,NoRating,
色女：朝鮮宮廷醜聞,Uhwudong: Ownerless Flower,愛情,韓國,2015,李洙成,"白道彬, 宋恩彩, 余玉萬, 劉章英",https://hamivideo.hinet.net/product/206445.do?cs=2,3.5,101分鐘,tt4922946,NoRating,NoRating,5.0,5.2,NoRating,
找死凶宅,Handsome Guys,喜劇,韓國,2024,南東協,"李星民, 李熙峻, 孔升妍, 朴智煥, 李奎炯, 張東周, 禹賢, 金度勳",https://hamivideo.hinet.net/product/273813.do?cs=2,4.5,101分鐘,tt32475217,NoRating,NoRating,6.7,6.5,NoRating,
劇場版派遣女醫X FINAL,Doctor-X the Movie,劇情,日本,2025,田村直己,"米倉涼子, 田中圭, 内田有紀, 今田美櫻, 勝村政信, 岸部一德, 染谷將太, 綾野剛, 遠藤憲一, 西田敏行",https://hamivideo.hinet.net/product/300310.do?cs=2,4.6,128分鐘,tt32758080,NoRating,NoRating,6.9,6.4,NoRating,
乖女孩,Baby Girl,驚悚,美加,2025,哈琳娜瑞金,"妮可基嫚, 哈里斯迪金森, 安東尼奧班德拉斯, 蘇菲魏爾德",https://hamivideo.hinet.net/product/289001.do?cs=2,3.2,114分鐘,tt30057084,76%,NoRating,5.6,5.7,79/100,
金派特攻隊,Citizen of a Kind,動作,韓國,2024,朴榮珠,"羅美蘭, 孔明, 廉惠蘭, 朴丙垠, 張允柱, 李茂生, 安恩真",https://hamivideo.hinet.net/product/257798.do?cs=2,4.6,113分鐘,tt30364726,NoRating,88%,6.0,6.7,NoRating,
她死了,Following,驚悚,韓國,2024,金世輝,"卞約漢, 申惠善, 李伊",https://hamivideo.hinet.net/product/269257.do?cs=2,4.4,102分鐘,tt32220831,NoRating,NoRating,6.6,6.5,NoRating,
怪醫黑傑克 2024,BLACK JACK,劇情,日本,2024,城定秀夫,"高橋一生, 永尾柚乃",https://hamivideo.hinet.net/product/266707.do?cs=2,4.5,92分鐘,tt32909860,NoRating,NoRating,6.3,6.2,NoRating,
史蒂芬金之猴子,The Monkey,驚悚,美加,2025,奧茲古柏金斯,"席歐詹姆斯, 塔緹安娜瑪斯蘭尼, 伊利亞伍德, 科林奧布賴恩, 羅漢坎貝爾",https://hamivideo.hinet.net/product/292860.do?cs=2,3.3,98分鐘,tt27714946,77%,55%,5.1,5.9,62/100,
12.12：首爾之春,12.12: The Day,動作,韓國,2023,金性洙,"黃晸玟, 鄭雨盛, 李星民, 朴解浚, 金成畇, 丁海寅, 李俊赫, 鄭滿植",https://hamivideo.hinet.net/product/252812.do?cs=2,4.5,141分鐘,tt22507524,NoRating,98%,8.8,7.5,NoRating,
罪惡對決,In the Land of Saints and Sinners,動作,英國,2023,勞勃羅倫茲,"連恩尼遜, 凱莉肯頓, 傑克格里森, 希朗漢德",https://hamivideo.hinet.net/product/281101.do?cs=2,3.8,106分鐘,tt15782690,83%,74%,5.8,6.4,60/100,
莫斯科行動,Moscow Mission,動作,中國,2024,邱禮濤,"劉德華, 張涵予, 黃軒, 文詠珊, 文仲華",https://hamivideo.hinet.net/product/258957.do?cs=2,3.9,128分鐘,tt23118352,96%,94%,6.0,5.6,NoRating,
