電影中文名稱,電影英文名稱,類型,國家,上映年份,導演,演員,Hami詳細頁Url,hami_rating,hami_duration,imdb_id,rt_tomatometer,rt_audience_score,douban_rating,imdb_rating,metacritic_rating,rt_tomatometer_omdb
七劍,Seven Swords,動作,香港,2005,徐克,"黎明, 甄子丹, 楊采妮, 陸毅, 孫紅雷, 金素妍",https://hamivideo.hinet.net/product/282336.do?cs=2,4.3,153分鐘,tt0429078,25%,55%,6,6.1,NoRating,
風流大丈夫,What A Man Wants,喜劇,韓國,2018,李炳憲,"申河均, 宋智孝, 李星民, 李伊, 張英南",https://hamivideo.hinet.net/product/68015.do?cs=2,4.1,100分鐘,tt8108278,NoRating,67%,6.2,6.2,NoRating,
槍神趙子龍,zhao zilong the God of War,動作,中國,2022,曾黎,"徐冬冬, 張子文",https://hamivideo.hinet.net/product/245542.do?cs=2,3.4,78分鐘,tt28307546,NoRating,NoRating,NoRating,7.1,NoRating,
厄憶追凶,Remember,動作,韓國,2022,李一炯,"李星民, 南柱赫",https://hamivideo.hinet.net/product/212245.do?cs=2,4.4,128分鐘,tt21279122,57%,69%,7.2,6.8,NoRating,
森中六魔女,Six Singing Women,劇情,日本,2023,石橋義正,"竹野內豐, 山田孝之, 竹中直人",https://hamivideo.hinet.net/product/257824.do?cs=2,3.5,112分鐘,tt32982133,NoRating,NoRating,5.1,5.5,NoRating,
羅賓漢崛起,Robin Hood,動作,美加,2018,奧圖巴斯特,"泰隆艾格頓, 傑米道南, 傑米福克斯, 伊娃修森, 班曼德森",https://hamivideo.hinet.net/product/79383.do?cs=2,4.4,116分鐘,tt4532826,14%,NoRating,5.2,5.4,32/100,
電影版TOKYO MER：行動急診室 南海救援,"TOKYO MER: Mobile Emergency Room- ""Nankai Mission""",動作,日本,2024,松木彩,"鈴木亮平, 江口洋介, 賀來賢人, 菜菜緒, 中條彩未",https://hamivideo.hinet.net/product/324028.do?cs=2,4.8,115分鐘,tt35683873,96%,94%,7.4,7.5,NoRating,
破案天才伽利略：真夏方程式,Midsummer Formula,劇情,日本,2013,西谷弘,"福山雅治, 吉高由里子, 北村一輝, 杏",https://hamivideo.hinet.net/product/245096.do?cs=2,4.6,128分鐘,tt2412556,NoRating,NoRating,7.4,6.6,NoRating,
一八九五,1895,戰爭,台灣,2008,洪智育,"楊謹華, 溫昇豪, 張書豪",https://hamivideo.hinet.net/product/249316.do?cs=2,4.4,110分鐘,tt1329469,NoRating,NoRating,7.3,5.7,NoRating,
捍衛勇士：美俄開戰,Top Gunner: America vs. Russia,動作,美加,2024,克里斯多夫雷伊,"艾力克羅勃茲, 史考特伊凡斯, 蓋瑞普克斯",https://hamivideo.hinet.net/product/276177.do?cs=2,3.3,79分鐘,tt28511512,NoRating,NoRating,NoRating,3.2,NoRating,
濟公,"MAD MONK, THE",喜劇,香港,1993,杜琪峰,"周星馳, 張曼玉, 吳孟達, 黃秋生",https://hamivideo.hinet.net/product/123112.do?cs=2,4.9,88分鐘,tt0106538,57%,41%,7.6,6.2,NoRating,
翻滾吧！男人,JUMP！MEN,紀錄片,台灣,2017,"林育賢, 郭樂興","李智凱, 黃克強",https://hamivideo.hinet.net/product/57592.do?cs=2,4.7,91分鐘,tt9530840,75%,69%,7.4,7.2,NoRating,
搶救巴迪,Once Upon a Time in Venice,動作,美加,2017,馬克庫倫,"布魯斯威利, 傑森摩莫亞, 約翰古德曼, 方姬詹森",https://hamivideo.hinet.net/product/51854.do?cs=2,3.1,94分鐘,tt4694544,21%,28%,5.6,5.3,28/100,
天才柏金斯,Genius,劇情,美加,2016,麥可格蘭道吉,"柯林佛斯, 裘德洛, 妮可基嫚, 蘿拉琳妮",https://hamivideo.hinet.net/product/41951.do?cs=2,4.4,104分鐘,tt1703957,52%,93%,7.4,6.5,56/100,
緣起不滅(數位修復版),THE CLASSIC,劇情,韓國,2022,郭在容,"孫藝珍, 曹承佑, 趙寅成",https://hamivideo.hinet.net/product/221752.do?cs=2,4.7,133分鐘,tt27804299,NoRating,21%,NoRating,4.6,NoRating,
幸運狗狗來造訪,Charlie 777,劇情,印度,2023,基蘭拉吉,"拉希特榭地, 桑姬塔辛格里",https://hamivideo.hinet.net/product/239585.do?cs=2,4.5,163分鐘,tt7466810,100%,94%,7.8,8.7,NoRating,
火線追緝令,Seven,劇情,美加,1995,大衛芬奇,"布萊德彼特, 摩根費里曼, 凱文史貝西",https://hamivideo.hinet.net/product/138105.do?cs=2,4.6,126分鐘,tt0114369,84%,NoRating,8.8,8.6,65/100,
愛．殺,Wrath of Desire,驚悚,台灣,2021,周美玲,"陽靚, 翁嘉薇, 徐宇霆, 陳俋君, 黃尚禾, 嚴藝文",https://hamivideo.hinet.net/product/154269.do?cs=2,3.6,119分鐘,tt14442348,68%,90%,5.2,6.0,NoRating,
當辣妹來敲門,Knock Knock,驚悚,美加,2015,伊萊羅斯,"基努李維, 蘿倫薩伊佐, 安娜德哈瑪絲",https://hamivideo.hinet.net/product/201230.do?cs=2,3.8,95分鐘,tt3605418,37%,19%,5.2,4.9,53/100,
邪妓,Black Magic Mask,驚悚,泰國,2024,"沙塔那蓬林旺通, 帕西特帕尼索卡隆羅吉","茵蒂拉謝倫寶娜, 普拉亞帕東蘇克, 賈魯蓬克魯伊梅甘姆, 李龍世",https://hamivideo.hinet.net/product/262467.do?cs=2,2.6,97分鐘,,NoRating,NoRating,NoRating,NoRating,NoRating,
異型：羅比孔,Alien Rubicon,驚悚,美加,2024,阿德里安阿維拉,"麥可派瑞, 普雷斯頓吉爾, 保羅洛根, 尼利達揚, 文尼普格列斯",https://hamivideo.hinet.net/product/284012.do?cs=2,1.9,86分鐘,tt33383283,NoRating,6%,2.9,2.3,NoRating,
賭博默示錄：最終遊戲,KAIJI: Final Game,劇情,日本,2020,佐藤東彌,"藤原龍也, 福士蒼汰, 關水渚, 新田真劍佑, 吉田鋼太郎, 生瀨勝久, 天海祐希",https://hamivideo.hinet.net/product/128382.do?cs=2,4.1,127分鐘,tt10423160,NoRating,NoRating,5.5,5.0,NoRating,
第六感追緝令2,Basic Instinct 2,劇情,美加,2006,麥可坎頓瓊斯,"莎朗史東, 大衛莫瑞賽, 夏綠蒂蘭普琳",https://hamivideo.hinet.net/product/171897.do?cs=2,3.8,114分鐘,tt0430912,6%,27%,5.7,4.4,26/100,
獵殺,The Hunted,動作,美加,2003,威廉佛瑞金,"湯米李瓊斯, 班尼西歐岱托羅",https://hamivideo.hinet.net/product/144473.do?cs=2,4.4,94分鐘,tt29262075,63%,32%,4.4,5.2,NoRating,
藍色情室,The Blue Room,驚悚,法國,2014,馬修亞瑪希,"馬修亞瑪希, 蕾雅杜嘉, 史黛芬妮克雷歐",https://hamivideo.hinet.net/product/305370.do?cs=2,2.6,71分鐘,tt4861402,88%,50%,NoRating,NoRating,NoRating,
蝴蝶俱樂部,Club Butterfly,劇情,韓國,2001,金宰秀,"金英浩, 艾妮塔, 尹東煥",https://hamivideo.hinet.net/product/198668.do?cs=2,3.6,95分鐘,,NoRating,NoRating,NoRating,NoRating,NoRating,
亡命對決,The Goblin,動作,韓國,2021,金熙聖,"趙東赫, 李莞",https://hamivideo.hinet.net/product/195635.do?cs=2,4.0,90分鐘,tt15760224,NoRating,NoRating,4.8,5.8,NoRating,
鬼才要回家,The Ancestral Home,喜劇,越南,2025,黃立,"方美芝, 黃立, 杏翠, 黃東",https://hamivideo.hinet.net/product/303672.do?cs=2,4.1,117分鐘,tt34460889,NoRating,93%,6.1,6.8,NoRating,
二十一世紀資本論,Capital in the 21st Century,紀錄片,法國,2022,賈斯汀彭博頓,"麥克道格拉斯, 凡妮莎蕾格烈芙, 隆納雷根, 瑪格麗特柴契爾",https://hamivideo.hinet.net/product/200300.do?cs=2,4.5,102分鐘,tt5723056,93%,NoRating,8.1,7.3,70/100,
無路可退,Only the Brave,劇情,美加,2017,喬瑟夫柯辛斯基,"喬許布洛林, 麥爾斯泰勒, 傑夫布里吉, 詹姆斯貝吉戴爾, 泰勒基奇, 珍妮佛康納莉",https://hamivideo.hinet.net/product/58604.do?cs=2,4.8,133分鐘,tt5610950,87%,91%,NoRating,4.4,NoRating,
暴劫行動,Acts of Violence,動作,美加,2017,布瑞特唐納伍,"布魯斯威利, 柯爾豪瑟, 艾希頓荷姆, 尚恩艾希摩",https://hamivideo.hinet.net/product/57333.do?cs=2,3.8,92分鐘,tt6684714,7%,31%,5,5.3,28/100,
刺客密令,The Protege,動作,美加,2021,馬丁坎貝爾,"MaggieQ, 山繆傑克森, 米高基頓, 勞勃派屈克",https://hamivideo.hinet.net/product/170262.do?cs=2,4.0,108分鐘,tt6079772,64%,82%,5.7,6.1,48/100,
聲之淫,Master and Man,動畫,韓國,2014,洪德彪,"鄭榮基, 李恩宇",https://hamivideo.hinet.net/product/271747.do?cs=2,3.1,218分鐘,,NoRating,NoRating,NoRating,NoRating,NoRating,
消屍的夜晚,The Vanished,劇情,韓國,2018,李昌熙,"金相慶, 金康宇, 金喜愛",https://hamivideo.hinet.net/product/64584.do?cs=2,4.2,101分鐘,tt6955298,NoRating,NoRating,6.8,6.6,NoRating,
龍門飛甲,Flying Swords of Dragon Gate,動作,香港,2011,徐克,"李連杰, 周迅, 陳坤, 桂綸鎂, 李宇春, 范曉萱, 樊少皇",https://hamivideo.hinet.net/product/213928.do?cs=2,4.4,122分鐘,tt1686784,68%,48%,6.9,5.9,57/100,
總舖師,Zone Pro Site,喜劇,台灣,2013,陳玉勳,"夏宇喬, 陳美秀, 楊佑寧",https://hamivideo.hinet.net/product/233405.do?cs=2,4.7,144分鐘,tt3166476,NoRating,58%,7.1,6.5,NoRating,
我在和平飯店,1980: The Unforgettable Day,劇情,韓國,2018,姜承容,"姜信一, 金奎吏, 白成鉉, 韓秀妍, 全秀珍",https://hamivideo.hinet.net/product/263136.do?cs=2,4.1,98分鐘,tt31171712,NoRating,NoRating,6.3,2.3,NoRating,
緝凶對決,The Beast,動作,韓國,2019,李正昊,"李星民, 劉宰明, 田慧振, 崔丹尼爾",https://hamivideo.hinet.net/product/205171.do?cs=2,4.0,130分鐘,tt10530286,NoRating,NoRating,6.9,6.1,NoRating,
國際市場：半世紀的諾言,Ode to My Father,戰爭,韓國,2015,尹齊均,"黃晸玟, 金侖珍, 吳達庶, 張英南, 鄭進永, 羅美蘭, 金瑟祺",https://hamivideo.hinet.net/product/242726.do?cs=2,4.8,126分鐘,tt3812366,75%,86%,8.6,7.8,NoRating,
鬼怨偶,Soul Reaper,驚悚,越南,2010,陳友進,"黃荷, 武田家輝, 阮蘭芳, 朝春",https://hamivideo.hinet.net/product/259112.do?cs=2,3.5,109分鐘,tt30460383,NoRating,NoRating,4.7,5.5,NoRating,
愛情診療室,Love Clinic,愛情,韓國,2015,金亞倫,"吳智昊, 強藝元",https://hamivideo.hinet.net/product/201852.do?cs=2,3.9,101分鐘,tt4946602,NoRating,NoRating,6.4,6.0,NoRating,
這個殺手不太冷靜,Too Cool To Kill,喜劇,中國,2022,邢文雄,"馬麗, 魏翔, 陳明昊, 周大勇, 黃才倫, 高海寶, 韓笑, 艾倫",https://hamivideo.hinet.net/product/198786.do?cs=2,3.3,109分鐘,tt16254308,NoRating,80%,6.1,6.1,NoRating,
可不可以，你也剛好喜歡我,Do you love me as I love you,愛情,台灣,2020,簡學彬,"曹佑寧, 陳妤, 林映唯, 黃健瑋, 李杏, 陳彥名, 程予希, 劉名凱, 林鶴軒, 楊謹華, 肆一",https://hamivideo.hinet.net/product/214615.do?cs=2,3.9,107分鐘,tt12747236,NoRating,NoRating,5.1,5.7,NoRating,
萬惡新世界,Inside Man,動作,韓國,2016,禹民鎬,"李炳憲, 曹承佑, 白潤植",https://hamivideo.hinet.net/product/236346.do?cs=2,4.6,130分鐘,tt3779028,NoRating,84%,8.1,7.0,NoRating,
親切的金子,Sympathy for Lady Vengeance,劇情,韓國,2005,朴贊郁,"崔岷植, 李英愛",https://hamivideo.hinet.net/product/68777.do?cs=2,4.2,115分鐘,tt0451094,76%,87%,7.6,7.5,75/100,
